title,view_count,tags,duration,duration_string,channel,channel_url,channel_follower_count
Imagine Dragons - Take Me To The Beach (feat. Ado) (Official Lyric Video),30301956,Imagine Dragons;Take Me To The Beach;Remix;LOOM;Ado;Japanese Artist;Rock;Alternative;Pop;J-Pop,167,2:47,ImagineDragons,https://www.youtube.com/channel/UCpx_k19S2vUutWUUM9qmXEg,32900000
Justin Bieber - DAISIES (Audio),24709753,Justin Bieber;Justin Bieber 2021 PS/ Def Jam;Pop,176,2:56,Justin Bieber,https://www.youtube.com/channel/UCHkj014U2CQ2Nv0UZeYpE_A,76200000
Sabrina Carpenter - Bed Chem (Official Lyric Video),44470482,Sabrina Carpenter;Island Records;Pop,172,2:52,Sabrina Carpenter,https://www.youtube.com/channel/UC4mYKePIas5YgGfYZ2J2OxQ,12300000
Dua Lipa - Illusion (Official Music Video),80373280,dua lipa;dua;new rules;dua leepa;idgaf;scared to be lonely;be the one;future nostalgia;don't start now;let's get physical;break my heart;radical optimism;training season;houdini;pop;dance;music;chart music;illusion;dula peep;DL3;DL2;choreo;dua lipa dancing,187,3:07,Dua Lipa,https://www.youtube.com/channel/UC-J-KZfRV8c13fOCkhXdLiQ,24400000
Sabrina Carpenter - Busy Woman (Official Lyric Video),20923612,Sabrina Carpenter;Island Records;Pop;busy woman;new sabrina;sabrina deluxe;espresso;please please please;taste;short;sweet;2025;new music;busy;woman;if you need my love;be my perfect mrs;coming over to your place,187,3:07,Sabrina Carpenter,https://www.youtube.com/channel/UC4mYKePIas5YgGfYZ2J2OxQ,12300000
Addison Rae - Diet Pepsi (Official Video),35211939,Addison Rae New Song;Addison Rae New Music;AddisonRe;TikTok;Viral;die;Charli xcx;Brat;Music Video Pop;Addison Rae;Diet Pepsi,180,3:00,Addison Rae,https://www.youtube.com/channel/UC3Cs0kPcr0GQPCVzX32NQPg,4350000
Ryan Collins - Stars n Stripes (Official Music Video),1161,Ryan Collins;iDreamology;Hip Hop/Rap,184,3:04,RyanCollinsVEVO,https://www.youtube.com/channel/UC3_qhEitTtkh2PJGvtZLsZA,1
Sabrina Carpenter - Juno (Official Lyric Video),34725855,Sabrina Carpenter;Island Records;Pop,223,3:43,Sabrina Carpenter,https://www.youtube.com/channel/UC4mYKePIas5YgGfYZ2J2OxQ,12300000
"David Guetta, Alphaville & Ava Max - Forever Young (Official Music Video)",18154200,,157,2:37,David Guetta,https://www.youtube.com/channel/UC1l7wYrva1qCH-wgqcHaaRg,27600000
keshi - Soft Spot (Official Music Video),26261465,keshi;Island Records;Pop,204,3:24,keshi,https://www.youtube.com/channel/UCuCRWL0H5WnXmPBJ3JdbVLA,1900000
Tyla x Wizkid - DYNAMITE (Official Music Video),7826393,tyla;new artist;getting late;tyla to last;to last tyla;to last;last;kooldrink;epic;epic records;new music;fax records;electronic;electronic music;dance music;dj lag;overdue;tyla been thinking;been thinking tyla;been thinking;ayra starr;ayra starr tyla;tyla ayra starr girl next door;girl next door;tyla girl next door;ayra starr girl next door;girl next door tyla ayra starr;water;tyla water;water tyla;tyla bliss;DYNAMITE;Tyla Wizkid,195,3:15,Tyla,https://www.youtube.com/channel/UCr2xjaS7CIx1OY7hYwrXb8A,5070000
Ariana Grande - intro (end of the world) (extended) (lyric visualizer),19166284,Ariana Grande;Republic Records;Pop,161,2:41,Ariana Grande,https://www.youtube.com/channel/UC0VOyT2OCBKdQhF3BAbZ-1g,56400000
Maz Univerze - Heroes (Official Music Video),8687,,194,3:14,Maz Univerze,https://www.youtube.com/channel/UCLQxyu1bZW4E4Y0KJf4o8UQ,2120
Taylor Swift - Guilty as Sin (Official Lyric Video),46131082,taylor swift;taylor;swift;taylor swift ttpd;tortured poets department;new taylor swift;taylor swift album;ts ttpd;ttpd anthology;taylor swift tortured poets department;taylor swift lyrics;the tortured poets department,259,4:19,Taylor Swift,https://www.youtube.com/channel/UCqECaJ8Gagnn7YCbPEzWH6g,61500000
"Selena Gomez, benny blanco - Sunset Blvd (Official Video)",18620923,Selena Gomez;benny blanco;SMG Music LLC Friends Keep Secrets under exclusive license to Interscope Records;Pop,175,2:55,Selena Gomez,https://www.youtube.com/channel/UCjK8ORC71kwyj1DWFwril_A,35500000
Justin Bieber - YUKON,21968615,justin;bieber;justinbieber;purpose;myworld;journals;baby;yummy;believe;never say never;under the mistletoe;10000 hours;i dont care;sorry;love yourself;let me love you;im the one;no brainer;cold water;beauty and a beat;what do you mean;as long as you love me;boyfriend;justice;hold on;peaches;anyone;stuck with u;freedom;swag;yukon;daisies;cole;cole bennett;lyrical lemonade;hailey;hailey bieber;biebs;walking away;go baby;slide;slide city;r&b;hiphop;pop,183,3:03,Justin Bieber,https://www.youtube.com/channel/UCIwFjwMjI0y7PDBVEO9-bkQ,76200000
Ariana Grande - twilight zone (Official Lyric Video),18245315,Ariana Grande;Republic Records;Pop,202,3:22,Ariana Grande,https://www.youtube.com/channel/UC0VOyT2OCBKdQhF3BAbZ-1g,56400000
"Gracie Abrams - I Love You, I’m Sorry (Official Music Video)",31456772,"Gracie Abrams;Gracie Abrams, under exclusive license to Interscope Records;Pop",234,3:54,Gracie Abrams,https://www.youtube.com/channel/UCVFRVXH1hRoWkmpKCRmLMiQ,1770000
HoodTrophy Bino ft. FCG Heem - Miami (Official Music Video),66051,,197,3:17,HoodTrophy Bino,https://www.youtube.com/channel/UCsaZi3QZrZ5-skEIPPNrV_w,20300
Sean Paul x INNA - Let It Talk To Me,16952860,Sean Paul,155,2:35,Sean Paul,https://www.youtube.com/channel/UCkdc7gHpavxpgGalxKbgSHA,5200000
"Selena Gomez, benny blanco - How Does It Feel To Be Forgotten (Official Lyric Video)",16971256,Selena Gomez;benny blanco;SMG Music LLC Friends Keep Secrets under exclusive license to Interscope Records;Pop;How Does It Feel To Be Forgotten;Said Love You First;New Selena Music;New Selena Album;Selena and benny,161,2:41,Selena Gomez,https://www.youtube.com/channel/UCjK8ORC71kwyj1DWFwril_A,35500000
